"BlueOdds","RedOdds","BlueAvgSigStrPct","RedAvgSigStrPct","BlueAvgSigStrLanded","RedAvgSigStrLanded","BlueAvgTDLanded","RedAvgTDLanded","BlueAvgTDPct","RedAvgTDPct","BlueAge","RedAge","Winner"
270,-330,0.364,0.346,39.7143,35,1.1905,0.4615,0.378,0.327,31,33,"1"
750,-1200,0.36,0.5,2.4,5.42,3.31,1.84,0.44,0.462,44,26,"1"
200,-220,0.484,0.592,31.5,52.4706,0.8333,0.25,0.3,0.054,25,29,"1"
-110,-110,0.46,0.473,71.5,67.75,0.75,3.75,0.395,0.57,26,34,"1"
145,-165,0.344,0.51,39.9333,64.3333,0,1,0,0.4,28,29,"0"
-165,145,0.327,0.393,17.6667,38.2857,1.5833,3.2727,0.173,0.517,25,31,"1"
145,-182,0.37,0.4,3.53,4.86,1.57,3.41,0.33,0.48,32,29,"1"
220,-260,0.4,0.48,2.82,5.98,1.47,1.07,0.26,0.5,35,29,"1"
-175,155,0.47,0.33,4.95,2.53,0.78,1.99,0.38,0.225,34,35,"1"
-115,-105,0.4,0.398,57.25,40.6111,0.2,0,0.1,0,32,29,"1"
-165,145,0.57,0.477,3.4,3.95,3.53,2.67,0.36,0.34,28,36,"0"
-120,100,0.55,0.47,19.841809878528,21.1527659641032,0,0.5,0,0.237,33,35,"0"
175,-205,0.45,0.5,3.76,2.53,0.79,0.57,0.5,0.27,28,31,"0"
258,-280,0.24,0.42,26.25,60.5,1,1.4,0.33,0.352,31,28,"1"
-110,-110,0.215,0.59,23.5,83.5,0,0,0,0,27,29,"0"
190,-210,0.425,0.345,15,26.2222,2,2.4615,0.343,0.446,27,32,"1"
105,-130,0.42,0.488,60,50.1667,1,1.5,0.143,0.193,28,33,"0"
59.7932402411945,-115.711474369147,0.4,0.42,4.77,3.31,1.26,1.68,0.3,0.35,31,32,"1"
420,-540,0.592,0.39,5.11,6.64,0.76,0.5,0.325418923672178,0.62,32,27,"0"
105,-125,0.5,0.44,3.76,1.75,0.2,0.29,0.06,0.66,25,31,"0"
475,-640,0.354,0.468,31.5833,42.4615,1.6,0.7,0.383,0.165,34,26,"0"
-120,100,0.5,0.515,28.6,21.6154,0.3333,0.3,0.167,0.2,24,32,"0"
205,-245,0.36,0.418,2.93,2.59,0.68,3.32,0.75,0.59,29,28,"1"
-115,-105,0.391,0.405,3.84,3.13,0,1.53,0,0.36,27,33,"1"
435,-500,0.67,0.396,29,39.6,3,0.6,0.534,0.104,32,35,"1"
400,-450,0.465,0.604,40.5,45.625,2.2222,3.5,0.55,0.411,26,27,"1"
340,-380,0.513,0.465,32.5714,40.5,0.8,1.875,0.4,0.413,36,34,"1"
165,-175,0.486,0.495,18.4,21,0.66,1,0.667,0.527,31,33,"1"
120,-140,0.338,0.256,73.5,17,1.7692,3,0.277,0.525,29,24,"1"
-125,105,0.503,0.45,3.07,4.63,1.68,1.09,0.23,0.31,38,37,"1"
420,-475,0.35,0.65,37.5714,48,1.6667,5.6667,0.193,0.72,29,30,"1"
-150,130,0.394,0.348,19.841809878528,21.1527659641032,3.7143,0.6,0.593,0.225,26,33,"0"
185,-240,0.54,0.389,57,52,2,6,0.33,0.677,32,31,"0"
-190,165,0.55,0.48,2.78,2.33,1.49,1.26,0.47,0.41,32,37,"0"
200,-250,0.43,0.597,31.5,38.25,0,0,0,0,24,25,"1"
685,-875,0.495,0.41,29,7,3.75,0,0.523,0.341467131959097,35,29,"1"
135,-155,0.475,0.508,22,30,1.75,0.5,0.278,0.5,29,31,"1"
135,-155,0.51,0.364,20,11.25,1.6667,1.1667,0.35,0.44,33,31,"1"
-125,105,0.46,0.39,2.92,5.04,1.22,0,0.41,0,31,30,"0"
-175,164,0.367,0.44,28.5,33,2.3333,1,0.358,0.213,28,33,"0"
