"BlueAvgSigStrLanded","RedAvgSigStrLanded","BlueAvgSigStrPct","RedAvgSigStrPct","BlueAvgTDLanded","RedAvgTDLanded","BlueReachCms","RedReachCms","BlueHeightCms","RedHeightCms","BlueAge","RedAge","RedWins","BlueWins","Winner"
5.5,4.12,0.55,0.61,0.77,1.49,187.96,195.58,190.5,185.42,27,30,6,8,0
5.13,5.49,0.57,0.6,0.45,0.58,203.2,205.74,200.66,193.04,36,34,9,12,0
3.74,2.3,0.44,0.58,0.47,3.45,177.8,177.8,175.26,177.8,36,30,7,1,0
4.41,6.25,0.53,0.46,0.75,1,177.8,182.88,177.8,175.26,33,36,5,4,1
3.24,4.87,0.49,0.5,0.46,0.35,193.04,195.58,193.04,193.04,36,34,7,15,0
3.11,5.07,0.61,0.52,4.89,1,195.58,190.5,185.42,180.34,33,33,15,4,0
4.61,4.43,0.52,0.48,2.31,4.75,180.34,182.88,170.18,170.18,35,30,8,16,0
5.44,4.38,0.53,0.47,0.96,0.72,195.58,198.12,185.42,190.5,30,34,13,6,1
3.41,3.18,0.47,0.45,1.79,3.44,190.5,198.12,185.42,187.96,37,40,12,8,1
8.39,3.35,0.53,0.5,1.62,4.36,165.1,170.18,165.1,170.18,23,33,6,4,1
3.92,1.86,0.49,0.4,1.45,3.35,193.04,190.5,180.34,185.42,39,37,12,8,0
5.08,2.64,0.52,0.33,1.45,3.13,187.96,177.8,185.42,170.18,25,42,20,7,1
4.9,5.34,0.5,0.47,0.46,0.58,198.12,210.82,193.04,195.58,32,32,9,2,0
2.91,5.11,0.54,0.54,1.62,1.61,172.72,170.18,165.1,170.18,36,31,9,13,0
4.18,4.99,0.36,0.45,2.74,0.92,154.94,160.02,154.94,165.1,29,35,8,6,0
3.38,4.49,0.49,0.46,1.08,0.42,177.8,180.34,180.34,182.88,40,34,6,7,1
3.46,5.81,0.46,0.46,0.56,1.16,167.64,167.64,167.64,167.64,31,32,2,1,1
7.2,4.95,0.56,0.48,0.72,0.5,195.58,190.5,193.04,187.96,34,35,8,7,1
2.21,8.57,0.43,0.55,0,0,200.66,190.5,193.04,187.96,34,26,2,0,0
2.11,1.75,0.42,0.38,4.67,1.65,165.1,177.8,167.64,175.26,28,28,2,2,1
4.54,4.05,0.66,0.52,0.46,0.92,167.64,185.42,165.1,177.8,25,29,2,2,1
5.43,3.48,0.5,0.39,1.08,0.37,167.64,152.4,170.18,157.48,22,30,2,2,0
3.9,3.13,0.45,0.38,1.6,2.42,170.18,180.34,172.72,170.18,31,26,2,3,1
3.02,5.4,0.35,0.5,1.7,0.84,177.8,177.8,167.64,172.72,33,26,2,0,0
3.64,3.86,0.37,0.29,0,0,177.8,180.34,175.26,182.88,31,24,3,3,1
4.67,4.38,0.52,0.58,1.74,1.89,203.2,213.36,193.04,193.04,42,37,21,14,0
4.49,3.4,0.5,0.55,1.59,2.25,180.34,187.96,172.72,177.8,38,35,22,4,0
2.52,2.65,0.44,0.63,1.52,3.61,193.04,193.04,190.5,185.42,36,28,5,9,0
3.04,4.04,0.38,0.47,2.79,1.86,170.18,172.72,165.1,162.56,30,37,6,5,0
5.57,4.7,0.41,0.59,0,0,185.42,190.5,182.88,180.34,25,28,2,1,0
6.06,4.44,0.48,0.49,0.46,0.38,175.26,177.8,172.72,172.72,34,30,10,3,1
2.96,2.99,0.42,0.42,2.3,1.52,180.34,180.34,180.34,172.72,36,41,26,6,0
3.36,3.57,0.53,0.49,0,1.42,200.66,198.12,193.04,190.5,33,39,12,3,0
2.26,3.5,0.44,0.49,1.51,1.15,182.88,187.96,177.8,187.96,31,32,6,2,1
4.26,3.71,0.49,0.38,2.16,2.21,182.88,182.88,182.88,180.34,26,32,1,3,1
2.6,3.12,0.49,0.45,4.37,0.93,167.64,162.56,167.64,162.56,30,29,4,2,1
4.39,3.43,0.57,0.46,0.44,2.12,198.12,203.2,185.42,190.5,31,37,22,4,1
2.1,3.74,0.37,0.5,1.97,0.78,172.72,175.26,162.56,170.18,30,32,1,1,0
2.89,3.42,0.48,0.4,2.68,1.8,160.02,157.48,165.1,157.48,29,31,4,11,1
5.35,6.61,0.57,0.54,0.92,0,187.96,200.66,185.42,187.96,30,27,1,4,0
4.55,5.54,0.5,0.43,0.72,0.31,160.02,162.56,157.48,160.02,24,39,9,4,1
3.38,3.77,0.53,0.42,0.59,1.01,182.88,190.5,175.26,185.42,34,31,5,2,1
4.3,4.32,0.47,0.46,2.17,2.17,182.88,162.56,177.8,167.64,30,35,7,2,1
1.29,3,0.5,0.54,0.84,3.46,200.66,190.5,198.12,182.88,33,30,1,0,0
2.72,3.99,0.34,0.43,1.39,1.59,172.72,177.8,165.1,170.18,31,30,9,5,0
3.71,5.24,0.42,0.44,1.46,1.86,165.1,167.64,165.1,162.56,32,25,6,11,0
3.16,5.82,0.42,0.53,1.27,0,205.74,198.12,190.5,193.04,28,30,1,1,1
3.7,4.04,0.44,0.41,2.5,0.52,172.72,170.18,170.18,167.64,35,30,6,6,1
3.47,5.98,0.44,0.47,2.31,0.21,190.5,187.96,182.88,185.42,32,34,5,3,1
3.17,3.85,0.54,0.46,1.07,2.27,187.96,185.42,182.88,185.42,32,32,4,7,0
5.38,4.06,0.41,0.46,0.48,0.16,165.1,172.72,167.64,172.72,38,36,5,10,0
7.66,5.43,0.53,0.48,0.84,0.34,172.72,175.26,170.18,175.26,37,28,6,3,0
2.84,3.6,0.49,0.58,2.34,3.22,182.88,180.34,177.8,172.72,28,29,6,5,1
3.71,3.78,0.47,0.51,1.02,4.49,203.2,190.5,187.96,187.96,31,33,6,5,0
5.35,4.87,0.53,0.39,1.1,0,177.8,182.88,167.64,180.34,28,28,1,2,0
3.47,3.11,0.44,0.46,2.18,0.68,180.34,162.56,177.8,167.64,37,37,3,2,1
2,3.29,0.39,0.56,2.53,1,177.8,167.64,172.72,170.18,30,34,1,1,0
7.16,4.69,0.47,0.47,0.25,2.02,175.26,175.26,180.34,170.18,32,27,7,22,0
5.36,4.54,0.58,0.43,4.31,0.8,190.5,185.42,187.96,182.88,30,33,17,7,1
4.16,3.64,0.5,0.52,0.66,0.92,198.12,190.5,193.04,190.5,32,32,10,6,0
3.66,4.8,0.45,0.54,0.99,1.78,180.34,185.42,170.18,175.26,33,33,6,11,0
